Y,TRANSPORTE,AGS,BC,BCS,CAM,COAH,COL,CHIS,CHIH,CDMX,DUR,GUA,GUE,HID,JAL,EDOMEX,MICH,MOR,NAY,NL,OAX,PUE,QUE,QRO,SLP,SIN,SON,TAB,TAMPS,TLAX,VER,YUC,ZAC
1994,TP,1038,2314,949,519,1601,653,1724,2925,11203,893,8694,1811,2194,6438,2776,2992,3419,987,10060,2203,7588,1560,119,887,3105,3145,8203,919,452,21329,541,1336
1995,TP,1151,1059,159,323,1906,689,2132,3604,11372,863,8077,6361,2417,8316,2711,3578,3409,726,9669,2126,3846,1483,198,929,3446,1343,10139,1165,46,17659,1302,1293
1996,TP,1408,2536,198,343,3069,1214,2289,3831,11328,946,3544,16000,2360,7866,7192,3628,3362,1026,9739,1206,3922,4150,797,1509,3617,1504,11947,1281,2139,5263,514,1205
1997,TP,1328,3935,276,375,2679,776,3140,4168,11349,1193,15950,26000,2449,6739,9277,3980,2160,1134,10492,1270,4605,4151,854,1607,3944,1998,13022,1482,1154,6993,1335,1630
1998,TP,1657,4040,462,387,3004,746,3071,5185,11934,1254,16718,37624,2381,6616,9591,4060,3421,1069,12238,1505,5086,4234,1191,3830,4171,1867,13192,2627,4410,6910,807,1155
1999,TP,1709,4140,492,620,3018,743,3079,5415,12141,1405,17088,46378,2389,7671,9631,5540,9857,1153,12620,2114,5388,4180,1344,4888,4368,2597,13239,3242,4345,7178,1134,1251
2000,TP,1700,5782,559,686,3369,751,4090,5587,11611,1242,14979,45583,2756,8543,11080,5504,6274,1560,13378,2183,5957,4476,2127,2043,5625,3399,13530,2754,4422,7628,1418,1800
2001,TP,1658,5086,681,549,30683,684,4624,5312,13259,1553,14523,43562,3094,8706,47696,5456,5216,2377,13025,2376,7024,4726,2153,2451,4856,3991,15020,3167,4509,7850,6137,1532
2002,TP,1660,5502,910,578,34527,705,4870,5993,17374,1779,18486,47257,3190,10073,47632,8422,5389,3167,14039,2817,7465,4929,924,2704,5045,4404,15305,3714,4448,7986,6524,1547
2003,TP,1471,7550,1793,844,32103,811,5080,5771,24705,1995,18634,46842,3259,11653,42334,8724,5546,2200,14373,2899,7964,5035,854,3042,5643,6168,14742,4174,4443,8594,7278,1577
2004,TP,1442,9675,2925,1073,33631,827,4371,5332,27175,2111,19665,48636,3297,10996,3027,8756,4357,1477,14372,3105,8352,3984,1171,3117,5641,7609,5691,5110,4459,8567,2848,1786
2005,TP,2003,10049,2942,801,34139,855,4934,5407,28514,2169,19407,50498,3507,10566,8419,8683,4577,1577,14855,1932,8387,3241,1285,3291,5826,2894,2877,4638,6443,9941,2223,1937
2006,TP,2001,10208,2594,1156,40135,878,4923,5314,30405,2304,19605,41395,3559,10353,49805,8918,4327,1614,15366,1482,8885,3294,1648,3453,6107,3516,2169,4762,5785,10451,1828,1949
2007,TP,1989,11378,1895,1396,46585,865,7994,5172,30675,2353,19547,42075,3619,10554,46639,9211,4884,1628,15047,1709,9117,2968,1840,3580,6440,4946,2224,5240,5634,11036,1926,1912
2008,TP,1990,12456,2008,1227,54492,845,8396,5344,32378,2405,18341,42748,3663,10971,43254,9886,4547,1641,15182,2365,9121,3331,1958,3780,6524,5794,2298,5402,5696,11133,1984,2127
2009,TP,1982,12600,2129,870,52088,800,8372,5635,32304,2424,18615,44461,3759,10795,44131,10878,4631,1646,15321,3567,9237,3389,2019,3845,6611,5940,2386,5613,5733,11003,2530,2151
2010,TP,2010,4664,3540,915,56354,826,8325,6032,32387,2419,19113,48953,3746,11071,10909,10794,4894,1657,15660,3712,12501,3470,2054,3814,6526,6377,2457,5930,5763,11124,2519,2222
2011,TP,2013,5117,4206,829,58322,715,8555,5627,32838,2446,19508,53965,3736,11159,14851,11016,5394,1759,16129,3853,12662,3274,2239,3840,6683,5861,2481,5995,5828,11964,2520,2180
2012,TP,1982,4491,4224,870,62286,743,9076,5610,31342,2305,20280,55476,3723,10735,16462,11741,5763,1750,16443,6795,12855,3332,2339,3927,6930,5814,2706,5968,5916,11922,2560,2154
2013,TP,2004,4934,4385,912,65640,729,9024,5825,31047,2328,21592,56715,3767,10860,17499,12500,5729,1779,16896,7113,12277,2686,2396,4025,7098,5925,2782,5820,5955,12285,2573,2044
2014,TP,2081,5148,4709,933,68793,717,9028,6219,31186,2376,23456,56879,3792,11191,18844,13238,5595,1812,8265,7474,11103,2910,2344,4085,7340,5925,2854,5977,6023,12930,2601,1892
2015,TP,1421,5407,4869,865,72174,768,8295,6613,33189,2390,25628,57282,3876,11468,19367,12392,5600,1815,8374,8009,11007,3924,2397,4292,7449,5925,3049,5944,6061,13086,2631,1885
2016,TP,1476,6084,5468,891,77572,1361,9025,7929,32462,2646,27611,57474,3961,11538,20682,13260,3372,1864,8320,7870,10813,3672,2542,4499,7632,4902,3020,5926,6131,13111,2700,1958
2017,TP,1470,10082,5804,940,98620,1395,9011,8459,32245,2686,29562,58380,2137,11576,23955,14173,7712,1915,8700,4149,11036,3811,2613,4634,7987,5062,2987,5969,6354,13110,2778,1808
2018,TP,3510,18273,2386,939,98693,1424,9153,8897,31901,2724,30051,58402,2062,10845,54614,13690,10630,1935,10169,4743,11238,3889,2561,5147,7916,4397,2991,5986,6406,13158,2880,1969
2019,TP,3531,19178,2522,811,110002,1431,8585,9527,31819,2755,30733,58460,1753,11363,57121,4609,11131,1953,11403,4795,9486,3892,2570,5305,8274,7317,2883,6308,6511,12588,2901,2089
2020,TP,3503,19706,2553,815,114809,1442,8704,10033,31913,2794,31463,58504,1573,12162,57046,4258,11046,1973,12955,4807,9386,3758,2516,5326,8407,7578,2894,6310,6121,11710,2913,2111
2021,TP,3429,11391,2315,823,119360,1446,8768,10373,31946,2780,31774,58782,1305,12260,50013,4603,11134,1994,13824,4784,9348,3727,2512,5312,8419,8171,2767,6504,6257,11498,2957,2088
1980,carga,19513,83912,18436,7082,51438,18555,26311,67754,187205,38486,57004,18522,24000,114260,84023,58011,28690,16083,66447,29492,56647,12911,5659,28305,52488,79535,11317,81999,9235,85323,16548,15625
1981,carga,20645,88947,19225,9242,58989,24336,29114,81157,204248,43256,61470,19976,27642,128636,93866,67602,30244,16813,79821,32794,68061,13622,6425,30952,59648,81707,13494,87196,9975,93553,17328,16915
1982,carga,21304,97841,23910,13206,67572,38472,29045,89041,199088,48493,66200,22702,28154,126684,99914,71260,33442,19518,78912,37594,70996,14314,6655,33777,60433,83459,14691,94669,11753,109525,18222,20953
1983,carga,22351,116325,25114,15113,75820,40144,33265,110752,180921,56160,71909,24654,28276,135724,101972,81036,35501,20162,81927,41626,81773,15670,7101,36347,64821,85177,18044,104175,14386,123139,19100,24721
1984,carga,23461,119813,23813,17823,80264,43666,31295,127040,178551,56091,80259,26784,28840,151333,109577,85195,39385,26788,94400,36001,85061,16608,7458,38151,69364,85946,20403,111959,17343,128512,20250,28441
1985,carga,24785,122209,22541,18659,85320,45035,35699,135961,172224,57381,86198,28391,29993,158377,124610,90306,42779,27375,100441,33871,90589,17853,7301,40060,73803,97486,22237,118900,18071,134423,21996,29521
1986,carga,27130,120494,23802,19058,88409,47227,39483,141638,125860,58411,89504,29823,31027,167096,147621,94918,55532,27642,105463,35665,94394,18566,7926,41379,113314,100790,23387,126184,18695,138011,24443,30133
1987,carga,28892,115681,24105,20346,91497,47781,41297,144753,131709,59251,95232,30963,34488,177069,148319,98503,57795,29357,110589,38785,90127,19213,8685,42668,116707,106268,26100,131745,19877,141816,25828,36632
1988,carga,29755,116721,24417,20751,95881,48732,44049,149664,143505,60490,101317,32343,35888,190691,161802,103523,57541,30439,116426,41956,95194,20314,10617,44388,120090,112862,29652,138281,20457,149971,30799,45509
1989,carga,31205,127625,26542,23944,121111,48866,54409,157323,146614,62729,110562,37382,49719,205688,178312,112037,60224,31858,127112,44697,103604,27099,13846,51597,124230,121739,33745,155834,30227,161385,33577,76709
1990,carga,43001,133609,29599,25136,126633,47108,63180,187460,178205,65496,119975,42718,55975,225412,199007,124961,63853,32215,137272,50980,111292,30878,16321,57224,129019,131721,35944,171295,31062,174042,33579,90564
1991,carga,47300,146969,32557,27649,139295,51818,69497,274184,160290,72044,131971,46989,61572,247951,218906,137456,70237,35435,150998,56077,122421,33964,17952,62945,141919,144891,39537,188423,34167,191445,36935,99620
1992,carga,46208,147254,33055,30638,146879,52779,72439,278986,204335,73272,143117,48629,57054,267601,239217,143830,73333,36512,163409,58901,131326,35958,18309,65599,145735,152497,41205,195791,48819,199758,40115,99856
1993,carga,47369,145728,33146,33569,164331,27684,54046,212246,229334,74962,188733,50664,78735,394018,209271,184253,42974,33578,180993,61366,112560,44282,16127,67849,160368,154812,72257,141632,23874,190331,33056,128829
1994,carga,55108,147092,33712,33483,127586,32570,57669,237674,166663,82828,187987,51717,89974,399424,111926,216113,54219,37781,193850,63909,196130,52270,15236,82282,159349,156810,59116,156929,19393,174006,39210,121792
1995,carga,61721,192018,41997,41659,115523,34884,69446,253323,171035,97052,197766,93497,99743,390095,134699,210235,56032,48058,187009,59119,131888,46955,14765,90163,175784,107484,75223,170419,24662,142414,40305,123712
1996,carga,72146,206012,45276,33096,115468,61398,76584,260663,157003,96261,190900,70842,109389,396474,182608,210992,60837,51188,192121,61922,134282,51051,26612,94880,152385,107963,48729,177547,23814,167753,30943,128533
1997,carga,56974,216136,48184,34248,132016,36413,86194,270389,157914,101755,209192,78079,116799,386164,226603,240386,56494,52666,199222,74430,145431,53447,31305,100894,148622,102720,45903,187205,24779,182681,29853,135483
1998,carga,59616,199213,61553,17864,123987,34715,92806,285434,174088,104828,198287,82653,125194,388115,265542,239512,71323,62288,209697,79724,143533,58851,18009,111262,161254,89998,47280,203594,30493,187059,11969,138327
1999,carga,60448,211223,62863,21988,127631,30130,93012,263767,177597,107251,233449,103397,131696,409242,303968,273010,53438,49551,222145,74137,150296,62218,22439,117157,168510,135467,59782,208105,33085,200248,31655,141207
2000,carga,71825,165695,69893,24276,116945,36631,97708,332930,136321,88614,270560,100675,157733,511440,318109,349645,57585,49602,279895,80872,180828,77282,29143,141388,187828,217799,62064,252977,37675,215615,42284,177580
2001,carga,79662,187849,75152,25599,157057,50819,103912,333775,104639,111695,303662,99879,184039,567996,271530,383102,41539,61830,322392,97929,202934,88427,28726,166928,244007,212325,67208,293314,39238,236759,48696,201587
2002,carga,87498,209819,84160,28409,203730,56084,112039,360205,80320,108156,341266,110593,210297,660328,197168,429877,51432,73177,365323,121441,215547,101794,27356,186369,261471,232324,70575,307140,42980,253775,54747,215397
2003,carga,95316,321416,88479,32502,189683,60515,126934,356259,61652,133790,362841,119829,234471,713582,233836,484413,63048,80710,389782,136467,223513,113897,24260,198037,249817,247952,68824,306498,40785,276136,62196,219853
2004,carga,104440,278924,98629,38881,201232,65207,122977,342933,62087,138805,397826,185688,260515,761760,223029,487309,71523,108278,438461,109373,256407,88831,37053,207223,257567,296380,72850,323272,46540,328027,71414,224094
2005,carga,111580,295504,104764,28674,198687,70448,130428,359941,69929,143911,409413,247440,283480,805628,254986,491541,80428,119354,423075,130352,275284,96370,43122,232715,273694,217889,82555,281299,49785,355317,72623,240522
2006,carga,117493,313958,123487,44374,197013,74461,139993,371156,78722,155366,431012,161112,304931,816171,356621,577538,69400,125451,447956,116211,312565,100318,59815,249445,293664,244921,91589,299026,67220,402150,71010,248769
2007,carga,124046,330608,134922,46761,201129,77945,194140,364044,91167,161973,450011,166522,328653,856577,363047,596776,80988,129592,476731,132459,346937,109374,68636,276102,314719,274958,100829,270023,18702,438822,78786,243512
2008,carga,130530,353147,145487,50324,216394,82107,219080,370044,94089,161962,478642,189073,347725,921433,426529,663705,92690,138492,494690,136142,379893,129631,75522,295740,333240,302246,110460,284625,19452,465333,86266,258908
2009,carga,133239,367864,160727,40931,206385,83059,233212,380791,98990,177582,491062,190993,352524,932715,501184,687803,93556,142963,511962,154599,406116,137759,79466,304377,342403,313875,117914,298488,23933,504542,99727,264453
2010,carga,136887,210356,164674,47520,212488,85458,244989,386612,106069,176681,495854,193761,361621,949163,560346,736821,99967,147862,530705,164447,436737,143526,82819,310519,345689,327093,123194,308929,24300,525891,103342,271036
2011,carga,138516,217329,170122,47572,198696,88917,255353,364019,111985,179735,503456,196872,367101,968947,649344,762431,106127,152331,553529,173988,451139,142991,85723,317082,356419,310583,124346,317533,28647,548575,106762,264286
2012,carga,138226,237933,127530,51729,208198,97741,267248,371240,68890,186849,512727,199607,373406,967812,749075,787897,109781,156674,571223,180172,463964,149508,89516,324349,368939,245873,130419,321825,34018,561081,110489,221527
2013,carga,140029,248008,130299,55311,211105,93624,273798,394450,71106,192145,523971,203644,380434,980672,831677,838946,113038,160835,589328,185476,461822,144583,93016,333417,380630,263107,135787,328177,40180,583725,113739,208052
2014,carga,140624,250249,133865,59199,214350,95785,284125,417124,74746,198801,537730,208297,386649,1006006,916161,901279,116570,164479,430004,192299,431948,153805,97203,340767,391797,282006,140832,334841,56252,600095,117565,188527
2015,carga,146681,251515,135503,57496,214622,97208,292065,427445,77448,203559,551343,211188,393398,1026596,1045531,851454,117408,166142,427712,196750,437293,134846,101290,346939,393668,287345,144799,336244,72562,618050,121383,187805
2016,carga,148906,254848,138768,59899,226522,98124,301723,461330,80701,205753,562749,213413,401512,1043027,1152149,873049,124444,167983,441012,198337,438032,121019,105788,354151,386219,316318,145228,335507,86496,619157,126414,196043
2017,carga,151656,377705,146241,61851,255022,99183,309564,427997,83354,213673,569104,217150,300331,1062735,1260750,999305,125129,170524,458053,206657,447316,184064,115886,360897,393440,320200,146126,337580,142351,630701,130074,191198
2018,carga,158857,381020,140767,63048,232118,100025,316349,435620,85492,202194,569710,220067,239348,1023371,1261009,1040481,127156,172995,468141,234342,452464,185054,119247,366292,387818,394994,146448,337823,142948,632732,133936,198262
2019,carga,162865,385833,142647,57692,241700,101256,324530,446972,86689,200821,574642,222550,210738,1050353,1358152,1091399,133212,175712,481725,244084,270071,193599,123193,370800,396586,428609,147523,340246,81596,638168,137985,200921
2020,carga,166214,398218,145171,58566,247563,102110,337525,456640,84783,200407,573723,224882,195976,1067374,1411242,958472,140212,178358,485989,256676,275407,183468,125635,374636,400880,437145,150746,341542,83630,636067,140983,204444
2021,carga,169279,411157,149080,59956,247028,103795,349194,466531,88408,202312,575767,230739,203114,1069539,1459453,981247,146381,181639,489529,276895,281214,185765,129008,376849,404377,454678,149676,343381,88820,636718,143930,207207
1980,motos,4856,2236,389,3319,6147,4873,1442,10611,66249,3371,16920,3223,1973,25911,15513,8108,7709,3205,8904,5120,13625,2271,2115,8826,6894,8804,2620,4937,352,9406,15895,1260
1981,motos,4478,2236,311,4279,6315,8112,1460,11142,71013,2945,17199,3243,2486,34393,17854,7021,8281,2590,7465,5460,14263,2385,2157,10504,7021,7692,3611,5089,532,9432,14294,1338
1982,motos,3616,2236,350,4594,6761,9740,1440,12033,44178,3157,16620,3415,1980,17751,18686,8583,8752,2727,5919,5461,14894,2480,2287,10687,7083,7126,3538,5359,602,9742,13603,1835
1983,motos,2300,2700,498,5073,6901,10189,1531,12875,36279,3655,14858,3339,2224,12888,18671,9760,8578,2529,6844,5025,17131,2604,2401,11835,7112,6710,3375,5763,607,10953,12923,2353
1984,motos,2303,2780,571,5968,6964,10939,1430,13518,36665,3619,13266,3460,1976,11661,14345,10222,10564,2660,7086,5005,17003,1769,2521,12437,7189,6313,3295,6884,819,11451,10627,2838
1985,motos,2366,2802,659,6470,6987,11410,1628,13909,32412,3624,12101,3430,2174,12281,15752,10301,11446,2733,8962,4952,14132,1781,3335,13060,7548,7256,3591,7228,853,11622,10648,2905
1986,motos,2594,2865,675,6473,7249,11370,1871,13539,20406,3607,11048,3179,2309,13386,12289,9616,11221,2766,10306,4886,12009,1804,3226,12136,8885,7794,3588,8122,895,11630,8062,2886
1987,motos,2724,2965,692,6471,7399,11001,2286,12493,16098,3499,10139,2982,2278,13694,10281,9490,10087,3012,10630,4924,11313,1820,3052,10970,8975,8136,3618,8308,989,11483,6935,2315
1988,motos,2861,3052,713,6394,7506,10650,2411,12121,14755,3137,9225,3069,2300,13934,10306,9348,9633,3151,11128,5197,11209,1910,3015,10258,9062,8544,3680,8474,1038,11377,6214,2226
1989,motos,3004,3553,808,6669,8963,10184,2913,12442,15750,3049,8053,3200,2498,14333,10466,9442,9084,3309,11303,5369,11192,1977,4008,9888,9229,8180,3921,9082,1842,11480,6038,2586
1990,motos,3094,5945,965,6984,9119,9525,3269,12389,19560,3102,7582,3196,3098,16285,12804,9366,8587,3399,11709,5275,11079,2016,4029,8267,9062,8116,3780,10737,1757,12028,19380,3043
1991,motos,3247,6242,1012,7331,9574,10001,3431,13007,20701,3257,7960,3354,3252,17099,13443,9834,9016,3568,12293,5538,11632,2116,4230,8680,9515,8520,3969,11273,1844,12629,20348,3195
1992,motos,1352,6304,1097,10333,9663,10102,3465,13007,22402,3289,8040,3388,3086,22472,13510,9932,9017,3604,12906,5538,11283,2137,6878,8767,9515,8535,4008,11386,1862,12755,20551,3227
1993,motos,1390,6221,1101,25627,5000,9500,3000,13007,8816,3278,8558,3439,253,9465,5872,5682,9832,16177,12000,5716,5803,2105,7087,7897,5694,8663,7198,1704,466,12542,15663,3960
1994,motos,4443,6532,1200,28718,188,9000,2500,13007,23985,3540,7831,3542,377,23003,3901,5159,9257,3740,11500,4254,3510,2220,7998,8600,5510,9194,9195,1705,246,5029,16433,3955
1995,motos,5301,2598,617,9033,462,8500,2100,9000,30654,2500,3755,2000,466,13820,2775,9639,8000,1031,11500,3346,3180,2132,9363,5912,1129,1289,9868,3971,449,5215,13000,3955
1996,motos,6253,2589,376,10435,448,8000,2090,5000,33516,1784,6500,1023,342,41561,4225,10237,6000,1122,11000,3467,3165,2434,5927,9799,5510,1564,3047,5264,437,5918,9960,4066
1997,motos,6713,3864,748,11748,604,7500,2500,2000,34617,1990,9500,1392,338,42809,4841,11140,4000,1296,10500,4640,3981,2832,3921,10572,174,2226,3155,2197,449,7632,10677,3610
1998,motos,7410,2916,884,4013,819,7000,3000,709,51308,2405,12804,5951,414,45378,5532,12388,2000,2745,10500,4974,4617,3301,6589,11830,4744,2294,3929,3293,477,8220,10776,1380
1999,motos,7793,3001,1288,4508,1244,6500,3738,2570,55392,2622,15804,7129,499,45119,18637,13497,1002,3000,10000,4293,4698,3480,10090,11868,6369,3346,4975,4207,580,9778,13183,1889
2000,motos,8280,3458,1555,4231,1836,6500,3738,3541,55356,1234,18345,6795,664,52523,6122,16398,1294,3268,9459,4400,5825,3924,15952,12243,6948,4555,5440,4020,724,11900,17826,2070
2001,motos,8537,3893,1711,4437,2604,6464,3495,2935,55798,1574,12717,6113,829,16480,4344,18867,1416,4034,11488,8090,6789,4252,16326,13500,9422,4556,6612,5855,841,13971,20320,2536
2002,motos,9054,4136,1556,4945,4334,7325,4704,3802,61828,1881,20896,7647,1123,64237,4489,22442,2572,5002,14066,8763,8133,4968,14506,15191,10496,4493,6908,6567,1002,16163,23686,2607
2003,motos,9589,4896,2125,8231,4289,9097,7804,4063,80058,2370,22148,10290,1303,74571,6436,30059,4419,2011,16747,6958,8495,6025,19781,16505,10335,4942,7267,6343,1090,19745,28581,2944
2004,motos,10175,4692,2981,14126,4275,10923,9681,4318,82237,2627,27422,20826,1574,85987,4836,30404,5754,3920,19498,8143,10972,4377,30230,17384,11035,5012,9856,7141,1471,25970,37173,3287
2005,motos,9922,5431,3444,12490,4167,12966,12562,5005,69496,2950,29812,27832,1820,101307,8837,33565,8108,6774,22739,10291,12974,4629,39850,21856,13762,4665,13398,8319,1611,30948,42749,4264
2006,motos,10821,7005,4277,26413,4122,15052,15951,5543,92121,3694,37065,16304,2286,114151,18640,46148,6988,10540,26592,10079,17365,4716,56537,25207,17350,5687,17804,9666,2191,40976,46475,4543
2007,motos,11663,8381,4936,26572,3930,17825,23957,6056,125589,4134,45319,18241,2995,130404,24173,53959,9472,9850,30152,12241,21183,5050,69054,31689,21064,7493,25574,8721,4934,50895,55979,7520
2008,motos,13398,10025,6112,39110,3905,19633,31822,6656,155234,4915,56746,21147,3836,151140,51672,66172,12850,11940,33396,14160,25048,5851,80495,37170,26898,9538,32013,9969,5789,57309,66119,10005
2009,motos,14767,10146,6684,37237,3621,20489,35611,7683,164709,6201,63021,22440,4655,162064,64469,73200,13168,13113,36042,21983,27961,6911,87920,41434,31785,9906,38031,11160,6474,61519,79772,14077
2010,motos,17771,6679,7068,43877,3604,22958,40922,8236,114000,6526,71379,23834,5398,178453,76785,84013,15998,16442,39390,26218,30761,7778,94098,46877,33857,11226,43140,12057,6978,72628,84684,14510
2011,motos,20062,7688,7335,43804,2892,26457,48516,8683,95000,7084,81462,25569,6188,201542,103752,94252,19707,18964,44301,31148,33959,8278,102232,55522,37771,10302,48829,13925,7793,84607,96351,14147
2012,motos,23581,10007,5451,52016,2885,32975,51716,12281,95130,8169,98746,27497,7404,222396,140655,104782,23789,21292,50604,40723,38135,10653,112368,68888,48592,10296,53396,15281,8987,100690,103184,15659
2013,motos,29724,11635,6024,60451,2930,36000,59297,14028,91324,9116,135763,30702,8411,241165,188134,122103,30700,23138,56745,52050,44006,13696,122941,85880,56230,10391,60076,16090,10962,114342,111957,17630
2014,motos,38306,12788,6864,69972,2643,41276,71697,17342,210020,10353,164111,34856,9978,280457,243203,128808,39588,24057,45306,69335,47193,18211,137547,101386,66041,10391,67003,17353,15960,131693,121765,16060
2015,motos,44582,14360,7593,69585,2167,46718,84130,19986,260099,13341,207866,39194,12036,321568,322567,133911,40444,25853,52209,81066,54660,20026,152668,118864,76004,10391,75372,18401,21331,138489,132970,18813
2016,motos,51415,16734,8467,79581,2245,51595,92709,22060,300587,15046,259325,43351,13560,362303,397343,157016,43413,27873,59897,89810,70261,22133,169592,135811,84288,17729,83734,19664,26143,148806,143530,21556
2017,motos,58009,23790,9667,90020,2393,57056,103391,22957,347851,23318,303028,63986,15566,416016,496457,216222,51508,29954,69640,103746,81361,40181,195685,155738,90808,23113,92490,22046,46440,155580,162106,28420
2018,motos,69518,26470,7500,100544,23051,62946,113597,25784,406671,29314,325036,82592,20699,475844,496457,253094,60053,52957,84288,136606,96429,42481,215159,176643,100288,36107,109156,25518,52911,162855,177921,31663
2019,motos,80668,30252,8859,98981,28830,69251,127846,29278,473576,30492,376151,98458,22913,536595,654116,283900,97218,63981,102126,165581,89814,53392,240211,197369,117794,42634,121088,28299,43313,219908,192233,64495
2020,motos,89451,36123,10554,106477,33381,73158,145719,32027,497481,33679,410166,112471,30483,587887,755592,292466,114927,68602,121414,190850,105334,59225,253709,211948,129365,46030,131851,31808,53175,237490,203467,77900
2021,motos,99057,43581,12400,119665,42829,78777,161970,35186,543792,36873,453582,137132,36977,649416,896686,335280,132379,74769,144884,223179,125790,68990,277200,240720,142375,24230,153436,34682,60399,242468,223586,86972
